function_call,dictionary
track_calories,"{'name': 'track_calories', 'description': 'Track daily calorie intake', 'parameters': {'type': 'object', 'properties': {'meal': {'type': 'string', 'description': 'The meal for which calories are being tracked'}, 'calories': {'type': 'number', 'description': 'The number of calories consumed'}, 'date': {'type': 'string', 'format': 'date', 'description': 'The date for which calories are being tracked'}}, 'required': ['meal', 'calories', 'date']}}"
create_contact,"{'name': 'create_contact', 'description': 'Create a new contact', 'parameters': {'type': 'object', 'properties': {'name': {'type': 'string', 'description': 'The name of the contact'}, 'email': {'type': 'string', 'description': 'The email address of the contact'}}, 'required': ['name', 'email']}}"
create_calendar_event,"{'name': 'create_calendar_event', 'description': 'Create a new calendar event', 'parameters': {'type': 'object', 'properties': {'title': {'type': 'string', 'description': 'The title of the event'}, 'start_time': {'type': 'string', 'description': 'The start time of the event in the format YYYY-MM-DD HH:MM'}, 'end_time': {'type': 'string', 'description': 'The end time of the event in the format YYYY-MM-DD HH:MM'}}, 'required': ['title', 'start_time', 'end_time']}}"
search_movie,"{'name': 'search_movie', 'description': 'Search for a movie by title', 'parameters': {'type': 'object', 'properties': {'title': {'type': 'string', 'description': 'The title of the movie'}}, 'required': ['title']}}"
get_stock_price,"{'name': 'get_stock_price', 'description': 'Get the current stock price', 'parameters': {'type': 'object', 'properties': {'stock_symbol': {'type': 'string', 'description': 'The symbol of the stock, e.g. AAPL'}}, 'required': ['stock_symbol']}}"
calculate_age,"{'name': 'calculate_age', 'description': 'Calculate the age of a person', 'parameters': {'type': 'object', 'properties': {'birth_date': {'type': 'string', 'description': 'The birth date of the person'}}, 'required': ['birth_date']}}"
calculate_discounted_price,"{'name': 'calculate_discounted_price', 'description': 'Calculate the discounted price based on a given original price and discount percentage', 'parameters': {'type': 'object', 'properties': {'original_price': {'type': 'number', 'description': 'The original price before discount'}, 'discount_percentage': {'type': 'number', 'description': 'The percentage of the discount'}}, 'required': ['original_price', 'discount_percentage']}}"
get_news,"{'name': 'get_news', 'description': 'Get the latest news headlines', 'parameters': {'type': 'object', 'properties': {}, 'required': []}}"
generate_random_number,"{'name': 'generate_random_number', 'description': 'Generate a random number within a given range', 'parameters': {'type': 'object', 'properties': {'min': {'type': 'number', 'description': 'The minimum value of the range'}, 'max': {'type': 'number', 'description': 'The maximum value of the range'}}, 'required': ['min', 'max']}}"
encrypt_text,"{'name': 'encrypt_text', 'description': 'Encrypt the given text', 'parameters': {'type': 'object', 'properties': {'text': {'type': 'string', 'description': 'The text to be encrypted'}, 'encryption_algorithm': {'type': 'string', 'description': 'The encryption algorithm to be used'}}, 'required': ['text', 'encryption_algorithm']}}"
search_books,"{'name': 'search_books', 'description': 'Search for books based on title, author, or genre', 'parameters': {'type': 'object', 'properties': {'title': {'type': 'string', 'description': 'The title of the book'}, 'author': {'type': 'string', 'description': 'The author of the book'}, 'genre': {'type': 'string', 'description': 'The genre of the book'}}, 'required': []}}"
convert_currency,"{'name': 'convert_currency', 'description': 'Convert currency from one unit to another', 'parameters': {'type': 'object', 'properties': {'amount': {'type': 'number', 'description': 'The amount to be converted'}, 'from_currency': {'type': 'string', 'description': 'The source currency'}, 'to_currency': {'type': 'string', 'description': 'The target currency'}}, 'required': ['amount', 'from_currency', 'to_currency']}}"
calculate_distance,"{'name': 'calculate_distance', 'description': 'Calculate the distance between two points', 'parameters': {'type': 'object', 'properties': {'lat1': {'type': 'number', 'description': 'The latitude of point 1'}, 'lon1': {'type': 'number', 'description': 'The longitude of point 1'}, 'lat2': {'type': 'number', 'description': 'The latitude of point 2'}, 'lon2': {'type': 'number', 'description': 'The longitude of point 2'}}, 'required': ['lat1', 'lon1', 'lat2', 'lon2']}}"
play_music,"{'name': 'play_music', 'description': 'Play music from a specific genre or artist', 'parameters': {'type': 'object', 'properties': {'genre': {'type': 'string', 'description': 'The genre of music to play'}, 'artist': {'type': 'string', 'description': 'The artist whose music to play'}}, 'required': ['genre', 'artist']}}"
get_lyrics,"{'name': 'get_lyrics', 'description': 'Get the lyrics of a song', 'parameters': {'type': 'object', 'properties': {'song': {'type': 'string', 'description': 'The name of the song'}, 'artist': {'type': 'string', 'description': 'The artist of the song'}}, 'required': ['song', 'artist']}}"
search_book,"{'name': 'search_book', 'description': 'Search for books based on user preferences', 'parameters': {'type': 'object', 'properties': {'author': {'type': 'string', 'description': 'The author of the book'}, 'genre': {'type': 'string', 'description': 'The genre of the book'}, 'language': {'type': 'string', 'description': 'The language of the book'}}, 'required': ['genre']}}"
search_movies,"{'name': 'search_movies', 'description': 'Search for movies based on specified criteria', 'parameters': {'type': 'object', 'properties': {'genre': {'type': 'string', 'description': 'The genre of the movie'}, 'year': {'type': 'integer', 'description': 'The release year of the movie'}, 'actor': {'type': 'string', 'description': 'The name of the actor in the movie'}}, 'required': []}}"
calculate_bmi,"{'name': 'calculate_bmi', 'description': 'Calculate the BMI (Body Mass Index)', 'parameters': {'type': 'object', 'properties': {'weight': {'type': 'number', 'description': 'The weight of the person in kilograms'}, 'height': {'type': 'number', 'description': 'The height of the person in meters'}}, 'required': ['weight', 'height']}}"
search_news,"{'name': 'search_news', 'description': 'Search for news articles based on keywords', 'parameters': {'type': 'object', 'properties': {'keywords': {'type': 'array', 'items': {'type': 'string'}, 'description': 'The keywords to search for in the news articles'}}, 'required': ['keywords']}}"
check_email_availability,"{'name': 'check_email_availability', 'description': 'Check if an email address is available or already taken', 'parameters': {'type': 'object', 'properties': {'email': {'type': 'string', 'description': 'The email address to be checked'}}, 'required': ['email']}}"
calculate_gpa,"{'name': 'calculate_gpa', 'description': 'Calculate the GPA (Grade Point Average)', 'parameters': {'type': 'object', 'properties': {'grades': {'type': 'array', 'items': {'type': 'object', 'properties': {'course': {'type': 'string', 'description': 'The name of the course'}, 'grade': {'type': 'string', 'description': 'The grade received in the course'}, 'credit_hours': {'type': 'number', 'description': 'The number of credit hours for the course'}}, 'required': ['course', 'grade', 'credit_hours']}}}, 'required': ['grades']}}"
search_restaurants,"{'name': 'search_restaurants', 'description': 'Search for restaurants based on the given criteria', 'parameters': {'type': 'object', 'properties': {'cuisine': {'type': 'string', 'description': 'The cuisine type'}, 'location': {'type': 'string', 'description': 'The location of the restaurant'}, 'price_range': {'type': 'string', 'description': 'The price range (e.g. $, $$, $$$, $$$$)'}}, 'required': ['cuisine', 'location']}}"
calculate_discount,"{'name': 'calculate_discount', 'description': 'Calculate the discounted price of a product', 'parameters': {'type': 'object', 'properties': {'original_price': {'type': 'number', 'description': 'The original price of the product'}, 'discount_percentage': {'type': 'number', 'description': 'The discount percentage to apply'}}, 'required': ['original_price', 'discount_percentage']}}"
get_movie_info,"{'name': 'get_movie_info', 'description': 'Get detailed information about a movie', 'parameters': {'type': 'object', 'properties': {'title': {'type': 'string', 'description': 'The title of the movie'}, 'year': {'type': 'integer', 'description': 'The release year of the movie'}}, 'required': ['title']}}"
search_recipe,"{'name': 'search_recipe', 'description': 'Search for a recipe based on ingredients', 'parameters': {'type': 'object', 'properties': {'ingredients': {'type': 'array', 'items': {'type': 'string'}, 'description': 'The ingredients available'}, 'cuisine': {'type': 'string', 'description': 'The cuisine type'}, 'diet': {'type': 'string', 'description': 'The dietary restrictions'}, 'time': {'type': 'integer', 'description': 'The maximum cooking time in minutes'}}, 'required': ['ingredients']}}"
get_definition,"{'name': 'get_definition', 'description': 'Get the definition of a word', 'parameters': {'type': 'object', 'properties': {'word': {'type': 'string', 'description': 'The word to get the definition of'}}, 'required': ['word']}}"
send_email,"{'name': 'send_email', 'description': 'Send an email to a recipient', 'parameters': {'type': 'object', 'properties': {'recipient': {'type': 'string', 'description': 'The email address of the recipient'}, 'subject': {'type': 'string', 'description': 'The subject of the email'}, 'message': {'type': 'string', 'description': 'The content of the email'}}, 'required': ['recipient', 'subject', 'message']}}"
search_recipes,"{'name': 'search_recipes', 'description': 'Search for recipes based on ingredients', 'parameters': {'type': 'object', 'properties': {'ingredients': {'type': 'array', 'items': {'type': 'string'}, 'description': 'The ingredients to search for'}}, 'required': ['ingredients']}}"
analyze_website,"{'name': 'analyze_website', 'description': 'Analyze the content and performance of a website', 'parameters': {'type': 'object', 'properties': {'website_url': {'type': 'string', 'description': 'The URL of the website to analyze'}, 'metrics': {'type': 'array', 'items': {'type': 'string'}, 'description': 'The metrics to analyze for the website'}}, 'required': ['website_url', 'metrics']}}"
calculate_mortgage_payment,"{'name': 'calculate_mortgage_payment', 'description': 'Calculate the monthly mortgage payment', 'parameters': {'type': 'object', 'properties': {'loan_amount': {'type': 'number', 'description': 'The loan amount'}, 'interest_rate': {'type': 'number', 'description': 'The interest rate'}, 'loan_term': {'type': 'integer', 'description': 'The loan term in years'}}, 'required': ['loan_amount', 'interest_rate', 'loan_term']}}"
generate_qr_code,"{'name': 'generate_qr_code', 'description': 'Generate a QR code for the given data', 'parameters': {'type': 'object', 'properties': {'data': {'type': 'string', 'description': 'The data to be encoded in the QR code'}}, 'required': ['data']}}"
generate_username,"{'name': 'generate_username', 'description': 'Generate a unique username for a user', 'parameters': {'type': 'object', 'properties': {'first_name': {'type': 'string', 'description': 'The first name of the user'}, 'last_name': {'type': 'string', 'description': 'The last name of the user'}, 'birth_year': {'type': 'integer', 'description': 'The birth year of the user'}}, 'required': ['first_name', 'last_name', 'birth_year']}}"
create_poll,"{'name': 'create_poll', 'description': 'Create a new poll for gathering opinions', 'parameters': {'type': 'object', 'properties': {'question': {'type': 'string', 'description': 'The question for the poll'}, 'options': {'type': 'array', 'items': {'type': 'string'}, 'description': 'The options for the poll'}}, 'required': ['question', 'options']}}"
generate_invoice,"{'name': 'generate_invoice', 'description': 'Generate an invoice for a customer', 'parameters': {'type': 'object', 'properties': {'customer_name': {'type': 'string', 'description': 'The name of the customer'}, 'amount_due': {'type': 'number', 'description': 'The amount due for the invoice'}, 'due_date': {'type': 'string', 'format': 'date', 'description': 'The due date of the invoice'}}, 'required': ['customer_name', 'amount_due', 'due_date']}}"
check_text_sentiment,"{'name': 'check_text_sentiment', 'description': 'Check the sentiment of a text', 'parameters': {'type': 'object', 'properties': {'text': {'type': 'string', 'description': 'The text to analyze the sentiment of'}}, 'required': ['text']}}"
calculate_tax,"{'name': 'calculate_tax', 'description': 'Calculate the tax amount based on income and tax rate', 'parameters': {'type': 'object', 'properties': {'income': {'type': 'number', 'description': 'The income amount'}, 'tax_rate': {'type': 'number', 'description': 'The tax rate in percentage'}}, 'required': ['income', 'tax_rate']}}"
find_nearby_restaurants,"{'name': 'find_nearby_restaurants', 'description': 'Find nearby restaurants based on location', 'parameters': {'type': 'object', 'properties': {'location': {'type': 'string', 'description': 'The location to search for restaurants'}, 'cuisine': {'type': 'string', 'description': 'The type of cuisine to filter the restaurants'}}, 'required': ['location']}}"
calculate_profit,"{'name': 'calculate_profit', 'description': 'Calculate the profit percentage', 'parameters': {'type': 'object', 'properties': {'cost_price': {'type': 'number', 'description': 'The cost price of the item'}, 'selling_price': {'type': 'number', 'description': 'The selling price of the item'}}, 'required': ['cost_price', 'selling_price']}}"
get_random_quote,"{'name': 'get_random_quote', 'description': 'Get a random quote', 'parameters': {}}"
check_word_count,"{'name': 'check_word_count', 'description': 'Check the word count of a given text', 'parameters': {'type': 'object', 'properties': {'text': {'type': 'string', 'description': 'The text to count the words'}}, 'required': ['text']}}"
analyze_sentiment,"{'name': 'analyze_sentiment', 'description': 'Analyze the sentiment of a given text', 'parameters': {'type': 'object', 'properties': {'text': {'type': 'string', 'description': 'The text to be analyzed'}}, 'required': ['text']}}"
check_email,"{'name': 'check_email', 'description': 'Check if an email address is valid', 'parameters': {'type': 'object', 'properties': {'email': {'type': 'string', 'description': 'The email address to check'}}, 'required': ['email']}}"
calculate_area,"{'name': 'calculate_area', 'description': 'Calculate the area of a shape', 'parameters': {'type': 'object', 'properties': {'shape': {'type': 'string', 'description': 'The shape to calculate the area for'}, 'measurements': {'type': 'object', 'properties': {'length': {'type': 'number', 'description': 'The length of the shape'}, 'width': {'type': 'number', 'description': 'The width of the shape'}}, 'required': ['length', 'width']}}, 'required': ['shape', 'measurements']}}"
create_todo,"{'name': 'create_todo', 'description': 'Create a new to-do item', 'parameters': {'type': 'object', 'properties': {'task': {'type': 'string', 'description': 'The description of the to-do task'}, 'due_date': {'type': 'string', 'description': 'The due date of the task'}}, 'required': ['task', 'due_date']}}"
check_movie_showtimes,"{'name': 'check_movie_showtimes', 'description': 'Check the showtimes for a movie', 'parameters': {'type': 'object', 'properties': {'movie_title': {'type': 'string', 'description': 'The title of the movie'}, 'date': {'type': 'string', 'description': 'The date in YYYY-MM-DD format'}, 'location': {'type': 'string', 'description': 'The city and state, e.g. San Francisco, CA'}}, 'required': ['movie_title', 'date', 'location']}}"
find_restaurants,"{'name': 'find_restaurants', 'description': 'Find nearby restaurants', 'parameters': {'type': 'object', 'properties': {'location': {'type': 'string', 'description': 'The location to search for restaurants'}, 'cuisine': {'type': 'string', 'description': 'The type of cuisine'}, 'price_range': {'type': 'array', 'items': {'type': 'string'}, 'description': 'The price range of the restaurants'}}, 'required': ['location']}}"
calculate_tip_split,"{'name': 'calculate_tip_split', 'description': 'Calculate the individual tip amount for a bill split', 'parameters': {'type': 'object', 'properties': {'bill_amount': {'type': 'number', 'description': 'The total amount of the bill'}, 'number_of_people': {'type': 'integer', 'description': 'The number of people splitting the bill'}}, 'required': ['bill_amount', 'number_of_people']}}"
calculate_mortgage,"{'name': 'calculate_mortgage', 'description': 'Calculate the monthly mortgage payment', 'parameters': {'type': 'object', 'properties': {'loan_amount': {'type': 'number', 'description': 'The total amount of the loan'}, 'interest_rate': {'type': 'number', 'description': 'The annual interest rate'}, 'loan_term': {'type': 'integer', 'description': 'The loan term in years'}}, 'required': ['loan_amount', 'interest_rate', 'loan_term']}}"
search_hotels,"{'name': 'search_hotels', 'description': 'Search for hotels based on given criteria', 'parameters': {'type': 'object', 'properties': {'location': {'type': 'string', 'description': 'The location to search for hotels'}, 'check_in_date': {'type': 'string', 'description': 'The check-in date for the hotel stay'}, 'check_out_date': {'type': 'string', 'description': 'The check-out date for the hotel stay'}, 'num_guests': {'type': 'integer', 'description': 'The number of guests for the hotel stay'}, 'amenities': {'type': 'array', 'items': {'type': 'string'}, 'description': 'The desired amenities in the hotel'}}, 'required': ['location', 'check_in_date', 'check_out_date', 'num_guests']}}"
calculate_age_difference,"{'name': 'calculate_age_difference', 'description': 'Calculate the age difference between two people', 'parameters': {'type': 'object', 'properties': {'person1_birthdate': {'type': 'string', 'description': 'The birthdate of person 1 in YYYY-MM-DD format'}, 'person2_birthdate': {'type': 'string', 'description': 'The birthdate of person 2 in YYYY-MM-DD format'}}, 'required': ['person1_birthdate', 'person2_birthdate']}}"
calculate BMI,"{'name': 'calculate BMI', 'description': 'Calculate the body mass index', 'parameters': {'type': 'object', 'properties': {'weight': {'type': 'number', 'description': 'The weight of the person in kg'}, 'height': {'type': 'number', 'description': 'The height of the person in meters'}}, 'required': ['weight', 'height']}}"
convert_weight,"{'name': 'convert_weight', 'description': 'Convert weight from one unit to another', 'parameters': {'type': 'object', 'properties': {'weight': {'type': 'number', 'description': 'The weight value'}, 'from_unit': {'type': 'string', 'description': 'The unit to convert from'}, 'to_unit': {'type': 'string', 'description': 'The unit to convert to'}}, 'required': ['weight', 'from_unit', 'to_unit']}}"
get_current_time,"{'name': 'get_current_time', 'description': 'Get the current time in a specific time zone', 'parameters': {'type': 'object', 'properties': {'time_zone': {'type': 'string', 'description': 'The time zone to fetch the current time from'}}, 'required': ['time_zone']}}"
generate_random_password,"{'name': 'generate_random_password', 'description': 'Generate a random password with specified criteria', 'parameters': {'type': 'object', 'properties': {'length': {'type': 'integer', 'description': 'The length of the password'}, 'include_lowercase': {'type': 'boolean', 'description': 'Whether to include lowercase letters'}, 'include_uppercase': {'type': 'boolean', 'description': 'Whether to include uppercase letters'}, 'include_numbers': {'type': 'boolean', 'description': 'Whether to include numbers'}, 'include_symbols': {'type': 'boolean', 'description': 'Whether to include symbols'}}, 'required': ['length']}}"
check_website_status,"{'name': 'check_website_status', 'description': 'Check the status of a website', 'parameters': {'type': 'object', 'properties': {'url': {'type': 'string', 'description': 'The URL of the website'}}, 'required': ['url']}}"
generate_random_color,"{'name': 'generate_random_color', 'description': 'Generate a random color', 'parameters': {}}"
search_lyrics,"{'name': 'search_lyrics', 'description': 'Search for lyrics of a song', 'parameters': {'type': 'object', 'properties': {'song_title': {'type': 'string', 'description': 'The title of the song'}}, 'required': ['song_title']}}"
create_event,"{'name': 'create_event', 'description': 'Create a new event in the calendar', 'parameters': {'type': 'object', 'properties': {'title': {'type': 'string', 'description': 'The title of the event'}, 'date': {'type': 'string', 'format': 'date', 'description': 'The date of the event'}, 'time': {'type': 'string', 'format': 'time', 'description': 'The time of the event'}, 'location': {'type': 'string', 'description': 'The location of the event (optional)'}}, 'required': ['title', 'date', 'time']}}"
update_calendar,"{'name': 'update_calendar', 'description': 'Update a calendar with an event', 'parameters': {'type': 'object', 'properties': {'event_title': {'type': 'string', 'description': 'The title of the event'}, 'start_time': {'type': 'string', 'description': 'The start time of the event'}, 'end_time': {'type': 'string', 'description': 'The end time of the event'}}, 'required': ['event_title', 'start_time', 'end_time']}}"
translate_text,"{'name': 'translate_text', 'description': 'Translate a given text from one language to another', 'parameters': {'type': 'object', 'properties': {'text': {'type': 'string', 'description': 'The text to translate'}, 'source_language': {'type': 'string', 'description': 'The source language of the text'}, 'target_language': {'type': 'string', 'description': 'The target language for the translation'}}, 'required': ['text', 'source_language', 'target_language']}}"
get_random_joke,"{'name': 'get_random_joke', 'description': 'Get a random joke', 'parameters': {}}"
generate_qrcode,"{'name': 'generate_qrcode', 'description': 'Generate a QR code for a given input', 'parameters': {'type': 'object', 'properties': {'data': {'type': 'string', 'description': 'The data to encode in the QR code'}}, 'required': ['data']}}"
analyze_website_performance,"{'name': 'analyze_website_performance', 'description': 'Analyze the performance of a website by measuring page load time and other metrics', 'parameters': {'type': 'object', 'properties': {'website_url': {'type': 'string', 'description': 'The URL of the website to analyze'}}, 'required': ['website_url']}}"
calculate_sales_tax,"{'name': 'calculate_sales_tax', 'description': 'Calculate the sales tax on a purchase', 'parameters': {'type': 'object', 'properties': {'purchase_amount': {'type': 'number', 'description': 'The total amount of the purchase'}, 'tax_rate': {'type': 'number', 'description': 'The tax rate as a percentage'}}, 'required': ['purchase_amount', 'tax_rate']}}"
create_account,"{'name': 'create_account', 'description': 'Create a new user account', 'parameters': {'type': 'object', 'properties': {'username': {'type': 'string', 'description': 'The desired username'}, 'password': {'type': 'string', 'description': 'The password for the account'}, 'email': {'type': 'string', 'description': 'The email address of the user'}}, 'required': ['username', 'password', 'email']}}"
get_recipe,"{'name': 'get_recipe', 'description': 'Get a recipe based on given ingredients', 'parameters': {'type': 'object', 'properties': {'ingredients': {'type': 'array', 'items': {'type': 'string'}, 'description': 'The list of ingredients available'}}, 'required': ['ingredients']}}"
analyze_customer_sentiment,"{'name': 'analyze_customer_sentiment', 'description': 'Analyze the sentiment of customer reviews for a product', 'parameters': {'type': 'object', 'properties': {'product_name': {'type': 'string', 'description': 'The name of the product'}}, 'required': ['product_name']}}"
create_user_account,"{'name': 'create_user_account', 'description': 'Create a new user account with specified details', 'parameters': {'type': 'object', 'properties': {'name': {'type': 'string', 'description': 'The name of the user'}, 'email': {'type': 'string', 'description': 'The email address of the user'}, 'password': {'type': 'string', 'description': 'The password for the user account'}}, 'required': ['name', 'email', 'password']}}"
search_files,"{'name': 'search_files', 'description': 'Search for files based on name or extension', 'parameters': {'type': 'object', 'properties': {'name': {'type': 'string', 'description': 'The name of the file'}, 'extension': {'type': 'string', 'description': 'The extension of the file'}, 'size': {'type': 'integer', 'description': 'The size of the file in bytes'}}, 'required': []}}"
schedule_meeting,"{'name': 'schedule_meeting', 'description': 'Schedule a meeting', 'parameters': {'type': 'object', 'properties': {'meeting_title': {'type': 'string', 'description': 'The title of the meeting'}, 'start_time': {'type': 'string', 'format': 'date-time', 'description': 'The start time of the meeting in yyyy-mm-ddThh:mm:ss format'}, 'end_time': {'type': 'string', 'format': 'date-time', 'description': 'The end time of the meeting in yyyy-mm-ddThh:mm:ss format'}, 'attendees': {'type': 'array', 'items': {'type': 'string'}, 'description': 'The attendees of the meeting'}}, 'required': ['meeting_title', 'start_time', 'end_time', 'attendees']}}"
create_note,"{'name': 'create_note', 'description': 'Create a new note', 'parameters': {'type': 'object', 'properties': {'title': {'type': 'string', 'description': 'The title of the note'}, 'content': {'type': 'string', 'description': 'The content of the note'}}, 'required': ['title', 'content']}}"
calculate_shipping_cost,"{'name': 'calculate_shipping_cost', 'description': 'Calculate the shipping cost for a package', 'parameters': {'type': 'object', 'properties': {'weight': {'type': 'number', 'description': 'The weight of the package in kilograms'}, 'destination': {'type': 'string', 'description': 'The destination address'}}, 'required': ['weight', 'destination']}}"
get_social_media_posts,"{'name': 'get_social_media_posts', 'description': 'Get recent posts from social media platforms', 'parameters': {'type': 'object', 'properties': {'platform': {'type': 'string', 'enum': ['Instagram', 'Twitter', 'Facebook'], 'description': 'The social media platform to retrieve posts from'}, 'username': {'type': 'string', 'description': 'The username of the user whose posts to retrieve'}}, 'required': ['platform', 'username']}}"
get_traffic_info,"{'name': 'get_traffic_info', 'description': 'Get traffic information for a specified location', 'parameters': {'type': 'object', 'properties': {'location': {'type': 'string', 'description': 'The location for which traffic information is required'}, 'date': {'type': 'string', 'description': 'The date for which traffic information is required in YYYY-MM-DD format'}, 'time': {'type': 'string', 'description': 'The time for which traffic information is required in HH:MM format'}}, 'required': ['location']}}"
generate_random_name,"{'name': 'generate_random_name', 'description': 'Generate a random name', 'parameters': {'type': 'object', 'properties': {'gender': {'type': 'string', 'description': 'The gender of the name'}}, 'required': ['gender']}}"
make_note,"{'name': 'make_note', 'description': 'Create a new note', 'parameters': {'type': 'object', 'properties': {'title': {'type': 'string', 'description': 'The title of the note'}, 'content': {'type': 'string', 'description': 'The content of the note'}}, 'required': ['title', 'content']}}"
generate_random_quote,"{'name': 'generate_random_quote', 'description': 'Generate a random quote', 'parameters': {'type': 'object', 'properties': {}, 'required': []}}"
create_todo_list,"{'name': 'create_todo_list', 'description': 'Create a new todo list with specified tasks', 'parameters': {'type': 'object', 'properties': {'title': {'type': 'string', 'description': 'The title of the todo list'}, 'tasks': {'type': 'array', 'items': {'type': 'string'}, 'description': 'The tasks to add to the todo list'}}, 'required': ['title', 'tasks']}}"
search_definition,"{'name': 'search_definition', 'description': 'Search for the definition of a word', 'parameters': {'type': 'object', 'properties': {'word': {'type': 'string', 'description': 'The word to search for'}}, 'required': ['word']}}"
generate_barcode,"{'name': 'generate_barcode', 'description': 'Generate a barcode for a product', 'parameters': {'type': 'object', 'properties': {'product_id': {'type': 'string', 'description': 'The unique identifier of the product'}}, 'required': ['product_id']}}"
calculate_factorial,"{'name': 'calculate_factorial', 'description': 'Calculate the factorial of a given number', 'parameters': {'type': 'object', 'properties': {'number': {'type': 'integer', 'description': 'The number to calculate factorial for'}}, 'required': ['number']}}"
get_movie_recommendations,"{'name': 'get_movie_recommendations', 'description': 'Get movie recommendations based on user preferences', 'parameters': {'type': 'object', 'properties': {'genre': {'type': 'string', 'description': 'The preferred genre of movies'}, 'rating': {'type': 'number', 'description': 'The minimum rating of recommended movies'}}, 'required': ['genre', 'rating']}}"
calculate_fuel_efficiency,"{'name': 'calculate_fuel_efficiency', 'description': 'Calculate the fuel efficiency of a vehicle', 'parameters': {'type': 'object', 'properties': {'distance': {'type': 'number', 'description': 'The distance traveled in kilometers'}, 'fuel_consumed': {'type': 'number', 'description': 'The amount of fuel consumed in liters'}}, 'required': ['distance', 'fuel_consumed']}}"
create_user,"{'name': 'create_user', 'description': 'Create a new user account', 'parameters': {'type': 'object', 'properties': {'username': {'type': 'string', 'description': 'The username for the new account'}, 'password': {'type': 'string', 'description': 'The password for the new account'}, 'email': {'type': 'string', 'description': 'The email address for the new account'}}, 'required': ['username', 'password', 'email']}}"
calculate_average,"{'name': 'calculate_average', 'description': 'Calculate the average of a list of numbers', 'parameters': {'type': 'object', 'properties': {'numbers': {'type': 'array', 'items': {'type': 'number'}, 'description': 'The list of numbers'}}, 'required': ['numbers']}}"
analyze_text,"{'name': 'analyze_text', 'description': 'Analyze the text for specified patterns', 'parameters': {'type': 'object', 'properties': {'text': {'type': 'string', 'description': 'The text to analyze'}, 'patterns': {'type': 'array', 'items': {'type': 'string'}, 'description': 'The patterns to search for in the text'}}, 'required': ['text', 'patterns']}}"
generate_random_username,"{'name': 'generate_random_username', 'description': 'Generate a random username', 'parameters': {'type': 'object', 'properties': {'length': {'type': 'integer', 'description': 'The length of the username'}, 'include_numbers': {'type': 'boolean', 'description': 'Include numbers in the username'}, 'include_symbols': {'type': 'boolean', 'description': 'Include symbols in the username'}}, 'required': ['length']}}"
get_song_lyrics,"{'name': 'get_song_lyrics', 'description': 'Get the lyrics of a song', 'parameters': {'type': 'object', 'properties': {'artist': {'type': 'string', 'description': 'The artist name'}, 'song': {'type': 'string', 'description': 'The song title'}}, 'required': ['artist', 'song']}}"
